model,category,index,subject,prompttemplate,promptcategory,difficulty,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,extract_caption,questions,image,answers,quest1,quest2,quest3,quest4,quest5,quest6,quest7,quest8,quest9,quest10,quest11,quest12
sdxlturbo,Animals,1929,Mountain Zebra,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Equus%20zebra%20-%20Disney%27s%20Animal%20Kingdom%20Lodge%2C%20Orlando%2C%20Florida%2C%20USA%20-%2020100119.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/HartmannsZebra.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Mountain Zebra'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Mountain Zebra that is 26 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Mountain Zebra that is 26 years old.,"['What type of animal is the main subject of the image?', ""What is the species of the zebra in the image?    **A)** Plains Zebra    **B)** Mountain Zebra    **C)** Grevy's Zebra    **D)** Quagga"", 'How old is the Mountain Zebra in the image?', 'What is the age of the Mountain Zebra depicted?    **A)** 10 years old    **B)** 20 years old    **C)** 26 years old    **D)** 30 years old', 'What style or quality is the image of the Mountain Zebra?', 'How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist']",generatedImages/sdxlturbo/Animals/image_1929.png,"['Mountain Zebra', 'B) Mountain Zebra', '26 years old', 'C) 26 years old', 'Photorealistic', 'C) Photorealistic']",What type of animal is the main subject of the image?,What is the species of the zebra in the image?    **A)** Plains Zebra    **B)** Mountain Zebra    **C)** Grevy's Zebra    **D)** Quagga,How old is the Mountain Zebra in the image?,What is the age of the Mountain Zebra depicted?    **A)** 10 years old    **B)** 20 years old    **C)** 26 years old    **D)** 30 years old,What style or quality is the image of the Mountain Zebra?,How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist,,,,,,
sdxlbase,Animals,999,Emperor Tamarin,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,1,http://commons.wikimedia.org/wiki/Special:FilePath/Black-chinned%20emperor%20tamarin%20%28S.%20i.%20imperator%29.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Emperor Tamarin'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of an Emperor Tamarin that is 12.0 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of an Emperor Tamarin that is 12.0 years old.,[],generatedImages/sdxlbase/Animals/image_999.png,[],,,,,,,,,,,,
stable-diffusion-3-5,Animals,819,Dassie Rat,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,1,http://commons.wikimedia.org/wiki/Special:FilePath/Petromus%20typicus.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Dassie Rat'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Dassie Rat that is 2.0 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a Dassie Rat that is 2.0 years old.,"['What type of animal is the main subject of the image?', 'What is the main subject of the image?    **A)** Lion    **B)** Dassie Rat    **C)** Elephant    **D)** Giraffe', 'How old is the Dassie Rat in the image?', 'What is the age of the Dassie Rat?    **A)** 1.0 year old    **B)** 2.0 years old    **C)** 3.0 years old    **D)** 4.0 years old', 'What style is the image created in?', 'What is the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist', 'What is being created?', 'What is the outcome of the creation process described?    **A)** A video    **B)** An image    **C)** A sculpture    **D)** A painting']",generatedImages/stable-diffusion-3-5/Animals/image_819.png,"['Dassie Rat', 'B) Dassie Rat', '', 'B)', 'Photorealistic', 'C) Photorealistic', 'An image', 'B) An image']",What type of animal is the main subject of the image?,What is the main subject of the image?    **A)** Lion    **B)** Dassie Rat    **C)** Elephant    **D)** Giraffe,How old is the Dassie Rat in the image?,What is the age of the Dassie Rat?    **A)** 1.0 year old    **B)** 2.0 years old    **C)** 3.0 years old    **D)** 4.0 years old,What style is the image created in?,What is the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist,What is being created?,What is the outcome of the creation process described?    **A)** A video    **B)** An image    **C)** A sculpture    **D)** A painting,,,,
sdxlbase,Animals,2089,Oriental Small-clawed Otter,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Small-clawed%20otter%20from%20Western%20Ghats.JPG,http://commons.wikimedia.org/wiki/Special:FilePath/Small-clawed%20otter%20from%20Western%20Ghats.JPG","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Oriental Small-clawed Otter'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of an Oriental Small-clawed Otter that is 18 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of an Oriental Small-clawed Otter that is 18 years old.,[],generatedImages/sdxlbase/Animals/image_2089.png,[],,,,,,,,,,,,
blackforest,Animals,2776,Yellow-footed Rock-wallaby,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,http://commons.wikimedia.org/wiki/Special:FilePath/Petrogale%20xanthopus%20-%20Monarto%201.JPG,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Yellow-footed Rock-wallaby'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Yellow-footed Rock-wallaby that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Yellow-footed Rock-wallaby that is one month old.,"['What type of animal is the main subject of the image?', 'What is the species of the animal in the image?    **A)** Kangaroo    **B)** Koala    **C)** Yellow footed Rock wallaby    **D)** Wombat', 'How old is the Yellow footed Rock wallaby in the image?', 'What is the age of the animal depicted?    **A)** Less than a week old    **B)** One month old    **C)** Six months old    **D)** One year old', 'What style or quality is the image supposed to depict?', 'How is the image of the Yellow footed Rock wallaby intended to appear?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Sketch']",generatedImages/blackforest/Animals/image_2776.png,"['Yellow footed Rock wallaby', 'C) Yellow footed Rock wallaby', 'One month old', 'B) One month old', 'Photorealistic', 'C) Photorealistic']",What type of animal is the main subject of the image?,What is the species of the animal in the image?    **A)** Kangaroo    **B)** Koala    **C)** Yellow footed Rock wallaby    **D)** Wombat,How old is the Yellow footed Rock wallaby in the image?,What is the age of the animal depicted?    **A)** Less than a week old    **B)** One month old    **C)** Six months old    **D)** One year old,What style or quality is the image supposed to depict?,How is the image of the Yellow footed Rock wallaby intended to appear?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Sketch,,,,,,
sdxlbase,Animals,841,Dhole,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Dole%2C%20Khumbu%2C%20Nepal.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Dhole%20%28Asiatic%20wild%20dog%29%20cropped.jpg","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Dhole'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Dhole that is 13 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Dhole that is 13 years old.,[],generatedImages/sdxlbase/Animals/image_841.png,[],,,,,,,,,,,,
sdxlturbo,Animals,1411,Himalayan Tahr,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,1,http://commons.wikimedia.org/wiki/Special:FilePath/Himalayan%20Tahr%20Kedarnath%20Musk%20Deer%20Sanctuary%20Uttarakhand%20India%2030.11.2015.jpg,"mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Himalayan Tahr'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Himalayan Tahr that is 12.0 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a Himalayan Tahr that is 12.0 years old.,"['What is the main animal depicted in the image?', 'Which of the following animals is the subject of the image?    A) Lion    B) Elephant    C) Himalayan Tahr    D) Giraffe', 'How old is the Himalayan Tahr in the image?', 'What is the age of the Himalayan Tahr depicted in the image?    A) 5.0 years old    B) 8.0 years old    C) 12.0 years old    D) 15.0 years old', 'What style is the image of the Himalayan Tahr created in?', 'Which style best describes the image of the Himalayan Tahr?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Impressionist']",generatedImages/sdxlturbo/Animals/image_1411.png,"['Himalayan Tahr', 'C) Himalayan Tahr', '1', 'C) 1', 'Photorealistic', 'C) Photorealistic']",What is the main animal depicted in the image?,Which of the following animals is the subject of the image?    A) Lion    B) Elephant    C) Himalayan Tahr    D) Giraffe,How old is the Himalayan Tahr in the image?,What is the age of the Himalayan Tahr depicted in the image?    A) 5.0 years old    B) 8.0 years old    C) 12.0 years old    D) 15.0 years old,What style is the image of the Himalayan Tahr created in?,Which style best describes the image of the Himalayan Tahr?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Impressionist,,,,,,
sdv15,Animals,1948,Narwhal,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9D%D0%B0%D1%80%D0%B2%D0%B0%D0%BB%20%D0%B2%20%D1%80%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9%20%D0%90%D1%80%D0%BA%D1%82%D0%B8%D0%BA%D0%B5.jpg,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Narwhal'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Narwhal that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a photorealistic image of a Narwhal that is one month old.,"['What is the main subject of the image?', 'What animal is depicted in the image?    **A)** Whale    **B)** Narwhal    **C)** Dolphin    **D)** Seal', 'How old is the Narwhal in the image?', 'What is the age of the Narwhal depicted?    **A)** One year old    **B)** One month old    **C)** Six months old    **D)** Three years old', 'What style is the image of the Narwhal?', 'How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist']",generatedImages/sdv15/Animals/image_1948.png,"['A Narwhal.', 'B) Narwhal', 'One month old.', 'B) One month old', 'Photorealistic.', 'C) Photorealistic']",What is the main subject of the image?,What animal is depicted in the image?    **A)** Whale    **B)** Narwhal    **C)** Dolphin    **D)** Seal,How old is the Narwhal in the image?,What is the age of the Narwhal depicted?    **A)** One year old    **B)** One month old    **C)** Six months old    **D)** Three years old,What style is the image of the Narwhal?,How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist,,,,,,
blackforest,Animals,1970,Nilgai,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,2,"http://commons.wikimedia.org/wiki/Special:FilePath/Nilgai%20%28Boselaphus%20tragocamelus%29%20male.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Female%20neelgai%201%20gir%202006%20karthick.jpg","lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Nilgai'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Nilgai that is 44 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a Nilgai that is 44 years old.,"['What is the main animal depicted in the image?', 'Which of the following animals is the subject of the image?    A) Elephant    B) Nilgai    C) Lion    D) Giraffe', 'How old is the Nilgai in the image?', 'What is the age of the Nilgai depicted in the image?    A) 20 years old    B) 30 years old    C) 44 years old    D) 50 years old', 'What style is the image of the Nilgai created in?', 'Which style best describes the image of the Nilgai?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Impressionist']",generatedImages/blackforest/Animals/image_1970.png,"['Nilgai', 'B) Nilgai', '44 years old', 'C) 44 years old', 'Photorealistic', 'C) Photorealistic']",What is the main animal depicted in the image?,Which of the following animals is the subject of the image?    A) Elephant    B) Nilgai    C) Lion    D) Giraffe,How old is the Nilgai in the image?,What is the age of the Nilgai depicted in the image?    A) 20 years old    B) 30 years old    C) 44 years old    D) 50 years old,What style is the image of the Nilgai created in?,Which style best describes the image of the Nilgai?    A) Cartoonish    B) Abstract    C) Photorealistic    D) Impressionist,,,,,,
sdxlbase,Animals,2539,Ugandan Kob,(imperative) a photorealistic image of (name) that is (0.5*lifespan) years old,realistic age,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Uganda-Kob.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ugandan%20kobs%20%28Kobus%20kob%20thomasi%29%20female%20and%20calf.jpg","mature,vigorous,strong,healthy,adult,muscular,toned,fit,agile,vibrant,sturdy,strong and healthy,muscular and toned body,vitality and good health,vibrant and sturdy appearance,prime of their life",Is the following subject present in the image: 'Ugandan Kob'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Ugandan Kob that is 8.0 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Ugandan Kob that is 8.0 years old.,[],generatedImages/sdxlbase/Animals/image_2539.png,[],,,,,,,,,,,,
sdxlbase,Animals,1713,Greater Kudu,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Tragelaphus%20strepsiceros.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Kudu%20in%20Unaizah.JPG","elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Greater Kudu'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Greater Kudu that is 19 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a Greater Kudu that is 19 years old.,[],generatedImages/sdxlbase/Animals/image_1713.png,[],,,,,,,,,,,,
stable-diffusion-3-5,Animals,1449,Honey Badger,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,1,http://commons.wikimedia.org/wiki/Special:FilePath/Honey%20badger.jpg,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Honey Badger'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Honey Badger that is 25 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Honey Badger that is 25 years old.,[],generatedImages/stable-diffusion-3-5/Animals/image_1449.png,[],,,,,,,,,,,,
sdxlturbo,Animals,929,Dwarf Hippo,(imperative) a photorealistic image of (name) that is (lifespan*0.8) years old,unrealistic age,1,http://commons.wikimedia.org/wiki/Special:FilePath/Pygmy%20hippopotamus%20pair.jpg,"elderly,aged,grey,wrinkled,signs of aging,graying fur,thinning fur,weathered appearance,wrinkled skin",Is the following subject present in the image: 'Dwarf Hippo'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Dwarf Hippo that is 34 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a Dwarf Hippo that is 34 years old.,[],generatedImages/sdxlturbo/Animals/image_929.png,[],,,,,,,,,,,,
sdxlbase,Animals,2468,Tasmanian Devil,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,http://commons.wikimedia.org/wiki/Special:FilePath/Sarcophilus%20harrisii%20taranna.jpg,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Tasmanian Devil'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Tasmanian Devil that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of a Tasmanian Devil that is one month old.,"['What type of animal is the main subject of the image?', 'What is the species of the animal in the image?    A) Koala    B) Kangaroo    C) Tasmanian Devil    D) Wombat', 'How old is the Tasmanian Devil in the image?', 'What is the age of the Tasmanian Devil depicted?    A) One week old    B) One month old    C) Three months old    D) Six months old', 'Describe the main subject of the image.', 'What is the primary focus of the image?    A) A landscape    B) A one month old Tasmanian Devil    C) A group of animals    D) A cityscape']",generatedImages/sdxlbase/Animals/image_2468.png,"['Tasmanian Devil', 'C) Tasmanian Devil', 'One month old', 'B) One month old', 'A one month old Tasmanian Devil.', 'B) A one month old Tasmanian Devil']",What type of animal is the main subject of the image?,What is the species of the animal in the image?    A) Koala    B) Kangaroo    C) Tasmanian Devil    D) Wombat,How old is the Tasmanian Devil in the image?,What is the age of the Tasmanian Devil depicted?    A) One week old    B) One month old    C) Three months old    D) Six months old,Describe the main subject of the image.,What is the primary focus of the image?    A) A landscape    B) A one month old Tasmanian Devil    C) A group of animals    D) A cityscape,,,,,,
sdv15,Animals,1928,Mountain Zebra,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Equus%20zebra%20-%20Disney%27s%20Animal%20Kingdom%20Lodge%2C%20Orlando%2C%20Florida%2C%20USA%20-%2020100119.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/HartmannsZebra.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Mountain Zebra'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a photorealistic image of a Mountain Zebra that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a photorealistic image of a Mountain Zebra that is one month old.,"['What type of animal is the main subject of the image?', 'What is the species of the animal in the image?    **A)** Lion    **B)** Elephant    **C)** Mountain Zebra    **D)** Giraffe', 'How old is the Mountain Zebra in the image?', 'What is the age of the Mountain Zebra?    **A)** One year old    **B)** Six months old    **C)** One month old    **D)** Three years old', 'What style or quality is the image of the Mountain Zebra?', 'How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Sketch']",generatedImages/sdv15/Animals/image_1928.png,"['Mountain Zebra', 'C) Mountain Zebra', 'One month old', 'C) One month old', 'Photorealistic', 'C) Photorealistic']",What type of animal is the main subject of the image?,What is the species of the animal in the image?    **A)** Lion    **B)** Elephant    **C)** Mountain Zebra    **D)** Giraffe,How old is the Mountain Zebra in the image?,What is the age of the Mountain Zebra?    **A)** One year old    **B)** Six months old    **C)** One month old    **D)** Three years old,What style or quality is the image of the Mountain Zebra?,How would you describe the style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Sketch,,,,,,
sdxlturbo,Animals,1190,Galapagos Fur Seal,(imperative) a photorealistic image of (name) that is (2*lifespan) years old,unrealistic age,2,http://commons.wikimedia.org/wiki/Special:FilePath/Galapagos%20Fur%20Seal%2C%20Santiago%20Island.jpg,"lifeless,deceased,dead,late,passed,perished,death,passing,decease,mortality",Is the following subject present in the image: 'Galapagos Fur Seal'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of a Galapagos Fur Seal that is 44 years old.,[],generatedImages/sdxlturbo/Animals/image_1190.png,[],,,,,,,,,,,,
sdxlbase,Animals,2428,Spectacled Flying Fox,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,http://commons.wikimedia.org/wiki/Special:FilePath/Pteropus%20conspicillatus.jpg,"tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Spectacled Flying Fox'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of a Spectacled Flying Fox that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a photorealistic image of a Spectacled Flying Fox that is one month old.,"['What type of animal is the main subject of the image?', 'What is the main subject of the image?    A) Kangaroo    B) Spectacled Flying Fox    C) Koala    D) Wombat', 'How old is the Spectacled Flying Fox in the image?', 'What is the age of the Spectacled Flying Fox?    A) Three months old    B) One month old    C) Six months old    D) One year old', 'What style of image is being described?', 'What type of image is being requested?    A) Cartoon    B) Sketch    C) Photorealistic    D) Watercolor']",generatedImages/sdxlbase/Animals/image_2428.png,"['Spectacled Flying Fox', 'B) Spectacled Flying Fox', 'One month old', 'B) One month old', 'Photorealistic', 'C) Photorealistic']",What type of animal is the main subject of the image?,What is the main subject of the image?    A) Kangaroo    B) Spectacled Flying Fox    C) Koala    D) Wombat,How old is the Spectacled Flying Fox in the image?,What is the age of the Spectacled Flying Fox?    A) Three months old    B) One month old    C) Six months old    D) One year old,What style of image is being described?,What type of image is being requested?    A) Cartoon    B) Sketch    C) Photorealistic    D) Watercolor,,,,,,
sdxlbase,Animals,2644,Walrus,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Noaa-walrus22.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Pacific%20Walrus%20-%20Bull%20%288247646168%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Walrus%202%20%286383855895%29.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Walrus'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a Walrus that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of a Walrus that is one month old.,[],generatedImages/sdxlbase/Animals/image_2644.png,[],,,,,,,,,,,,
sdxlbase,Animals,1760,Lesser Kudu,(imperative) a photorealistic image of (name) that is 1 month old,youth,1,"http://commons.wikimedia.org/wiki/Special:FilePath/Lesser%20Kudu%20Female.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lesser%20Kudu%20Male%20%28Tragelaphus%20imberbis%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Tragelaphus%20imberbis.jpg","tiny,soft,infant,juvenile,suckling,offspring,baby,small,bright-eyed,smooth,bright eyes,wide and open eyes,cuddly and endearing presence",Is the following subject present in the image: 'Lesser Kudu'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a Lesser Kudu that is one month old.'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a Lesser Kudu that is one month old.,"['What type of animal is the main subject of the image?', 'What is the main subject of the image?    **A)** Lion    **B)** Elephant    **C)** Lesser Kudu    **D)** Giraffe', 'How old is the Lesser Kudu in the image?', 'What is the age of the Lesser Kudu depicted?    **A)** One year old    **B)** Six months old    **C)** One month old    **D)** Three years old', 'What style or quality is the image of the Lesser Kudu intended to be?', 'What is the intended style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist']",generatedImages/sdxlbase/Animals/image_1760.png,"['A Lesser Kudu.', 'C) Lesser Kudu', 'One month old.', 'C) One month old', 'Photorealistic.', 'C) Photorealistic']",What type of animal is the main subject of the image?,What is the main subject of the image?    **A)** Lion    **B)** Elephant    **C)** Lesser Kudu    **D)** Giraffe,How old is the Lesser Kudu in the image?,What is the age of the Lesser Kudu depicted?    **A)** One year old    **B)** Six months old    **C)** One month old    **D)** Three years old,What style or quality is the image of the Lesser Kudu intended to be?,What is the intended style of the image?    **A)** Cartoonish    **B)** Abstract    **C)** Photorealistic    **D)** Impressionist,,,,,,
